wavelength,ONE05,RIM03,RIM04,RIM05
759.6937406,0.003906971,0.001286551,0.002220386,0.002520387
763.0159895,0.002007074,0.003786898,0.002089268,0.001271183
766.3374486,0.004646376,0.002542793,0.001641518,0.002425299
769.6581046,0.0035353,0.002459845,0.002727404,0.002240558
772.9779438,0.003291792,0.003332997,0.001742038,0.001369594
776.2969529,0.004791084,0.001621343,0.002109525,0.002476342
779.6151184,0.003300478,0.003016062,0.002241881,0.001614063
782.9324268,0.004709537,0.003140012,0.001616907,0.002076738
786.2488648,0.005126132,0.002837629,0.003104949,0.002940864
789.5644188,0.00453878,0.004993515,0.002597813,0.002155987
792.8790754,0.006856288,0.003949743,0.003005674,0.003571635
796.1928211,0.005711104,0.00476364,0.004085191,0.003219622
799.5056425,0.006811692,0.005579679,0.002944208,0.003053063
802.8175261,0.007740328,0.004402583,0.004070218,0.004561416
806.1284585,0.005823482,0.006686222,0.003922595,0.003182259
809.4384262,0.008478907,0.005724726,0.003347895,0.004222294
812.7474158,0.006912543,0.005325453,0.004819257,0.004226496
816.0554137,0.0057033,0.00672297,0.003195589,0.002466774
819.3624066,0.008173281,0.002494752,0.003216147,0.004138647
822.668381,0.003210088,0.003627162,0.002960791,0.00152393
825.9733234,0.004008458,0.002622806,0.000422867,0.001242887
829.2772204,0.003578055,-0.000262739,0.002459273,0.002614394
832.5800586,-0.000448897,0.003833442,0.000597257,-0.000329636
835.8818244,0.003549079,0.000561338,0.000790861,0.002191674
839.1825044,0.000802497,0.000619367,0.003357953,0.00092776
842.4820851,0.000265862,0.00198993,-0.001406178,-0.001061008
845.7805532,0.002624282,-0.002651746,0.00096425,0.002468867
849.0778952,-0.001837509,0.001763758,0.000826483,-0.001138974
852.3740975,0.002578952,0.00038812,-0.001192764,0.001244074
855.6691467,0.001145015,-0.000728276,0.00435378,0.002223173
858.9630295,-0.000949674,0.003886867,0.000626003,-0.001871324
862.2557322,0.004624852,-0.002301389,0.001232065,0.002899901
865.5472416,-0.002016633,0.000413896,0.002581018,-0.001925252
868.837544,0.000821201,0.00073934,-0.003299413,-0.00192189
872.1266262,0.002590215,-0.004511151,0.00315156,0.003191167
875.4144745,-0.004701404,0.005446196,3.06E-05,-0.002497511
878.7010756,0.004747595,0.000177735,0.000101846,0.004064594
881.9864159,0.000542807,9.00E-05,0.006944324,0.00141277
885.2704822,-0.001492092,0.004905972,-0.005168837,-0.004461261
888.5532608,0.006119218,-0.006870336,0.002787938,0.005541152
891.8347383,-0.004621914,0.001588683,0.000572179,-0.004028371
895.1149013,0.002508215,0.000366866,-0.009099696,0.001812111
898.3937363,0.00335796,-0.005469264,0.01636963,0.006351401
901.6712299,-0.005124746,0.011955411,0.000505755,-0.008366179
904.9473686,0.010864483,-0.004325965,0.000870758,0.012520512
908.222139,-0.004854104,0.00047357,0.011826699,-0.0067691
911.4955275,-0.000172222,0.004537799,-0.018673333,-0.014751925
914.7675208,0.007735756,-0.017129859,0.019724352,0.013750733
918.0381054,-0.013424726,0.013370999,2.86E-05,-0.008890912
921.3072678,0.01543684,0.000814768,-0.006853074,0.028004697
924.5749946,0.002067084,-0.001018243,0.047512643,0.010069493
927.8412724,-0.008853863,0.025800029,-0.021663006,-0.366558181
931.1060875,0.045710613,-0.051491902,-0.065045883,-0.11673116
934.3694267,-0.028031555,0.005005161,0.029386071,-0.018038048
937.6312765,-0.222595605,0.005178388,0.133406582,-0.005592501
940.8916234,0.031461859,0.742128285,-0.155192019,0.031111064
944.1504539,-0.083670974,0.16371849,0.002535063,-0.046004395
947.4077546,0.25239099,0.104885732,-0.003256247,-0.034416363
950.663512,-0.002361319,0.007536007,0.074301649,-0.019835669
